Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,Net_Takeaway,Possession_Score
Rodrigo Abols,29.0,PHI,C,22.0,191.0,199.0,49.0,0.3,137.0,135.0,50.4,0.3,8.3,84.7,93.0,61.2,38.8,9:11,9:09,4.0,14.0,-1.3,48.0,52.1,-10.0,49.7
Noel Acciari,33.0,PIT,C,76.0,692.0,926.0,42.8,-9.2,479.0,635.0,43.0,-8.0,6.2,88.2,94.4,20.6,79.4,13:44,11:17,14.0,33.0,-11.3,144.0,50.7,-19.0,42.9
Sebastian Aho,27.0,CAR,F,73.0,1401.0,898.0,60.9,2.6,1009.0,665.0,60.3,3.0,10.7,86.2,96.9,63.8,36.2,20:14,14:49,20.0,87.0,8.3,414.0,45.7,-67.0,60.599999999999994
Alexander Alexeyev,25.0,WSH,D,5.0,56.0,68.0,45.2,-1.0,47.0,39.0,54.7,9.9,14.3,96.0,110.3,29.5,70.5,13:13,13:11,0.0,2.0,1.7,8.0,50.0,-2.0,49.95
Nolan Allan,21.0,CHI,D,43.0,465.0,656.0,41.5,-5.5,319.0,478.0,40.0,-6.4,9.1,89.3,98.4,42.0,58.0,15:08,14:07,8.0,22.0,-10.3,64.0,26.6,-14.0,40.75
Michael Amadio,28.0,OTT,C,65.0,779.0,847.0,47.9,-2.6,541.0,582.0,48.2,-2.7,9.9,93.4,103.3,35.5,64.5,14:02,13:07,21.0,31.0,-1.9,142.0,52.8,-10.0,48.05
Nils Åman,24.0,VAN,C,19.0,171.0,182.0,48.4,-2.5,119.0,143.0,45.4,-5.6,9.7,89.7,99.4,48.9,51.1,10:29,10:13,3.0,3.0,0.0,20.0,40.0,0.0,46.9
Joey Anderson,26.0,CHI,RW,18.0,153.0,223.0,40.7,-4.1,95.0,158.0,37.5,-8.5,4.5,95.6,100.1,29.4,70.6,12:24,10:53,8.0,4.0,-3.2,31.0,54.8,4.0,39.1
Josh Anderson,30.0,MTL,RW,75.0,868.0,1029.0,45.8,-2.3,602.0,723.0,45.4,-2.9,11.0,90.5,101.5,42.3,57.7,14:11,12:23,16.0,35.0,-1.3,200.0,50.5,-19.0,45.599999999999994
Michael Anderson,25.0,LAK,D,71.0,1302.0,1275.0,50.5,-4.1,911.0,872.0,51.1,-4.0,9.0,93.4,102.4,41.5,58.5,22:44,19:34,19.0,56.0,-2.8,237.0,32.9,-37.0,50.8
Jaret Anderson-Dolan,25.0,WPG,C,1.0,2.0,7.0,22.2,-20.3,1.0,4.0,20.0,-22.0,,100.0,,0.0,100.0,8:54,8:54,0.0,1.0,-0.1,0.0,,-1.0,21.1
Rasmus Andersson,28.0,CGY,D,75.0,1559.0,1619.0,49.1,-3.8,1117.0,1147.0,49.3,-2.7,7.2,89.2,96.4,49.8,50.2,24:04:00,19:26,30.0,101.0,-7.7,352.0,42.6,-71.0,49.2
Emil Andrae,22.0,PHI,D,36.0,534.0,485.0,52.4,6.1,390.0,338.0,53.6,4.6,8.2,88.2,96.4,56.2,43.8,17:54,16:04,15.0,40.0,4.0,118.0,39.8,-25.0,53.0
Mason Appleton,29.0,WPG,C,65.0,874.0,915.0,48.9,-0.2,635.0,671.0,48.6,-1.4,8.8,93.8,102.6,29.1,70.9,14:51,13:54,14.0,32.0,-2.7,166.0,60.2,-18.0,48.75
Joel Armia,31.0,MTL,RW,74.0,687.0,850.0,44.7,-3.7,452.0,593.0,43.3,-5.6,9.9,89.2,99.1,30.8,69.2,14:22,11:01,18.0,43.0,-11.0,217.0,45.6,-25.0,44.0
Viktor Arvidsson,31.0,EDM,LW,60.0,949.0,760.0,55.5,1.2,694.0,542.0,56.1,1.8,7.4,90.3,97.7,55.0,45.0,14:47,13:41,14.0,59.0,8.7,264.0,52.3,-45.0,55.8
Rasmus Asplund,27.0,FLA,F,2.0,21.0,9.0,70.0,21.5,15.0,7.0,68.2,15.7,0.0,100.0,100.0,55.6,44.4,7:32,7:32,1.0,0.0,0.7,2.0,50.0,1.0,69.1
Zach Aston-Reese,30.0,CBJ,C,73.0,809.0,941.0,46.2,-2.7,563.0,640.0,46.8,-2.6,7.8,89.1,96.9,41.6,58.4,13:34,12:19,9.0,39.0,-2.8,182.0,52.7,-30.0,46.5
Andreas Athanasiou,30.0,CHI,C,8.0,55.0,100.0,35.5,-9.8,45.0,72.0,38.5,-8.2,12.5,87.8,100.3,35.7,64.3,10:02,9:56,2.0,2.0,-0.3,15.0,53.3,0.0,37.0
Cam Atkinson,35.0,TBL,RW,38.0,252.0,319.0,44.1,-6.1,189.0,232.0,44.9,-4.2,10.5,88.7,99.2,51.6,48.4,8:47,8:08,3.0,12.0,-4.1,61.0,70.5,-9.0,44.5
Nicolas Aubé-Kubel,28.0,TOT,RW,22.0,182.0,183.0,49.9,-2.4,120.0,127.0,48.6,-2.0,5.8,88.8,94.5,31.7,68.3,9:25,9:23,9.0,12.0,-3.0,42.0,42.9,-3.0,49.25
Nicolas Aubé-Kubel,28.0,BUF,RW,19.0,159.0,147.0,52.0,-0.5,103.0,99.0,51.0,0.1,6.6,87.5,94.1,29.4,70.6,9:32,9:30,8.0,11.0,-1.4,38.0,47.4,-3.0,51.5
Nicolas Aubé-Kubel,28.0,NYR,RW,3.0,23.0,36.0,39.0,-12.0,17.0,28.0,37.8,-10.8,0.0,93.8,93.8,42.9,57.1,8:44,8:40,1.0,1.0,-1.5,4.0,0.0,0.0,38.4
Oskar Back,24.0,DAL,C,68.0,638.0,613.0,51.0,1.7,405.0,432.0,48.4,-0.2,7.0,93.8,100.8,39.2,60.8,11:48,10:17,12.0,49.0,-2.5,91.0,46.2,-37.0,49.7
Mikael Backlund,35.0,CGY,C,69.0,1076.0,988.0,52.1,1.6,751.0,681.0,52.4,2.4,7.6,91.7,99.3,37.6,62.4,18:42,14:35,34.0,66.0,-0.4,315.0,49.8,-32.0,52.25
Kevin Bahl,24.0,CGY,D,66.0,1251.0,1299.0,49.1,-3.9,896.0,914.0,49.5,-2.7,8.1,91.0,99.1,47.0,53.0,21:21,18:40,23.0,79.0,-9.2,206.0,37.9,-56.0,49.3
Arshdeep Bains,24.0,VAN,F,13.0,119.0,133.0,47.2,-1.5,83.0,95.0,46.6,-3.2,5.8,87.9,93.6,53.9,46.1,10:30,9:45,1.0,4.0,-2.8,16.0,50.0,-3.0,46.900000000000006
Uvis Balinskis,28.0,FLA,D,69.0,915.0,735.0,55.5,-0.1,644.0,547.0,54.1,-0.6,7.4,90.3,97.7,60.8,39.2,14:36,13:13,19.0,46.0,10.1,178.0,46.6,-27.0,54.8
Ivan Barbashev,29.0,VEG,C,64.0,1045.0,1059.0,49.7,-0.6,754.0,760.0,49.8,-1.0,12.7,91.7,104.5,58.8,41.2,16:47,15:56,17.0,69.0,6.1,209.0,48.8,-52.0,49.75
Aleksander Barkov,29.0,FLA,C,64.0,1242.0,813.0,60.4,6.4,883.0,597.0,59.7,6.4,8.2,88.5,96.7,58.8,41.2,20:25,15:28,34.0,49.0,13.3,286.0,49.7,-15.0,60.05
Alex Barré-Boulet,27.0,MTL,F,2.0,15.0,22.0,40.5,4.4,8.0,16.0,33.3,-2.5,0.0,84.6,84.6,50.0,50.0,10:10,7:07,1.0,0.0,-0.9,1.0,0.0,1.0,36.9
Tyson Barrie,33.0,CGY,D,13.0,190.0,199.0,48.8,-4.3,131.0,139.0,48.5,-5.9,4.8,88.9,93.7,57.1,42.9,15:48,13:59,2.0,11.0,-1.5,40.0,47.5,-9.0,48.65
Justin Barron,23.0,TOT,D,56.0,873.0,816.0,51.7,4.2,596.0,561.0,51.5,4.1,7.8,88.0,95.7,57.9,42.1,17:01,15:58,14.0,48.0,-1.5,153.0,43.8,-34.0,51.6
Justin Barron,23.0,NSH,D,39.0,670.0,573.0,53.9,3.9,459.0,399.0,53.5,3.6,8.1,86.6,94.7,59.8,40.2,18:01,17:06,10.0,40.0,1.6,121.0,42.1,-30.0,53.7
Justin Barron,23.0,MTL,D,17.0,203.0,243.0,45.5,3.6,137.0,162.0,45.8,3.7,6.5,91.3,97.8,48.9,51.1,14:43,13:22,4.0,8.0,-3.1,32.0,50.0,-4.0,45.65
Morgan Barron,26.0,WPG,C,68.0,526.0,533.0,49.7,0.1,376.0,369.0,50.5,0.2,7.7,93.9,101.6,27.2,72.8,10:16,8:59,22.0,31.0,1.5,151.0,51.7,-9.0,50.1
Mathew Barzal,27.0,NYI,C,30.0,662.0,465.0,58.7,9.6,467.0,319.0,59.4,10.4,10.3,91.3,101.6,56.4,43.6,20:21,17:28,10.0,36.0,10.8,171.0,45.6,-26.0,59.05
Nathan Bastian,27.0,NJD,RW,55.0,414.0,467.0,47.0,-4.3,273.0,341.0,44.5,-6.0,6.4,93.0,99.5,40.3,59.7,10:51,10:01,2.0,23.0,-3.2,79.0,54.4,-21.0,45.75
Drake Batherson,26.0,OTT,C,75.0,1162.0,1136.0,50.6,0.5,838.0,814.0,50.7,0.4,7.5,89.8,97.3,50.2,49.8,18:09,14:57,20.0,48.0,-0.2,318.0,53.1,-28.0,50.650000000000006
Jake Bean,26.0,CGY,D,58.0,922.0,832.0,52.6,1.5,614.0,618.0,49.8,-1.6,6.0,93.6,99.6,62.0,38.0,15:22,14:55,24.0,42.0,-2.4,157.0,39.5,-18.0,51.2
