,,,,,,Corsi (EV),,,,Fenwick (EV),,,,PDO (),,,Zone Starts (EV),,,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rodrigo Abols,29,PHI,C,22,191,199,49,0.3,137,135,50.4,0.3,8.3,84.7,93,61.2,38.8,9:11,9:09,4,14,-1.3,48,52.1
2,Noel Acciari,33,PIT,C,76,692,926,42.8,-9.2,479,635,43,-8,6.2,88.2,94.4,20.6,79.4,13:44,11:17,14,33,-11.3,144,50.7
3,Sebastian Aho,27,CAR,F,73,1401,898,60.9,2.6,1009,665,60.3,3,10.7,86.2,96.9,63.8,36.2,20:14,14:49,20,87,8.3,414,45.7
4,Alexander Alexeyev,25,WSH,D,5,56,68,45.2,-1,47,39,54.7,9.9,14.3,96,110.3,29.5,70.5,13:13,13:11,0,2,1.7,8,50
5,Nolan Allan,21,CHI,D,43,465,656,41.5,-5.5,319,478,40,-6.4,9.1,89.3,98.4,42,58,15:08,14:07,8,22,-10.3,64,26.6
6,Michael Amadio,28,OTT,C,65,779,847,47.9,-2.6,541,582,48.2,-2.7,9.9,93.4,103.3,35.5,64.5,14:02,13:07,21,31,-1.9,142,52.8
7,Nils Åman,24,VAN,C,19,171,182,48.4,-2.5,119,143,45.4,-5.6,9.7,89.7,99.4,48.9,51.1,10:29,10:13,3,3,0,20,40
8,Joey Anderson,26,CHI,RW,18,153,223,40.7,-4.1,95,158,37.5,-8.5,4.5,95.6,100.1,29.4,70.6,12:24,10:53,8,4,-3.2,31,54.8
9,Josh Anderson,30,MTL,RW,75,868,1029,45.8,-2.3,602,723,45.4,-2.9,11,90.5,101.5,42.3,57.7,14:11,12:23,16,35,-1.3,200,50.5
10,Michael Anderson,25,LAK,D,71,1302,1275,50.5,-4.1,911,872,51.1,-4,9,93.4,102.4,41.5,58.5,22:44,19:34,19,56,-2.8,237,32.9
11,Jaret Anderson-Dolan,25,WPG,C,1,2,7,22.2,-20.3,1,4,20,-22,,100,,0,100,8:54,8:54,0,1,-0.1,0,
12,Rasmus Andersson,28,CGY,D,75,1559,1619,49.1,-3.8,1117,1147,49.3,-2.7,7.2,89.2,96.4,49.8,50.2,24:04:00,19:26,30,101,-7.7,352,42.6
13,Emil Andrae,22,PHI,D,36,534,485,52.4,6.1,390,338,53.6,4.6,8.2,88.2,96.4,56.2,43.8,17:54,16:04,15,40,4,118,39.8
14,Mason Appleton,29,WPG,C,65,874,915,48.9,-0.2,635,671,48.6,-1.4,8.8,93.8,102.6,29.1,70.9,14:51,13:54,14,32,-2.7,166,60.2
15,Joel Armia,31,MTL,RW,74,687,850,44.7,-3.7,452,593,43.3,-5.6,9.9,89.2,99.1,30.8,69.2,14:22,11:01,18,43,-11,217,45.6
16,Viktor Arvidsson,31,EDM,LW,60,949,760,55.5,1.2,694,542,56.1,1.8,7.4,90.3,97.7,55,45,14:47,13:41,14,59,8.7,264,52.3
17,Rasmus Asplund,27,FLA,F,2,21,9,70,21.5,15,7,68.2,15.7,0,100,100,55.6,44.4,7:32,7:32,1,0,0.7,2,50
18,Zach Aston-Reese,30,CBJ,C,73,809,941,46.2,-2.7,563,640,46.8,-2.6,7.8,89.1,96.9,41.6,58.4,13:34,12:19,9,39,-2.8,182,52.7
19,Andreas Athanasiou,30,CHI,C,8,55,100,35.5,-9.8,45,72,38.5,-8.2,12.5,87.8,100.3,35.7,64.3,10:02,9:56,2,2,-0.3,15,53.3
20,Cam Atkinson,35,TBL,RW,38,252,319,44.1,-6.1,189,232,44.9,-4.2,10.5,88.7,99.2,51.6,48.4,8:47,8:08,3,12,-4.1,61,70.5
21,Nicolas Aubé-Kubel,28,TOT,RW,22,182,183,49.9,-2.4,120,127,48.6,-2,5.8,88.8,94.5,31.7,68.3,9:25,9:23,9,12,-3,42,42.9
21,Nicolas Aubé-Kubel,28,BUF,RW,19,159,147,52,-0.5,103,99,51,0.1,6.6,87.5,94.1,29.4,70.6,9:32,9:30,8,11,-1.4,38,47.4
21,Nicolas Aubé-Kubel,28,NYR,RW,3,23,36,39,-12,17,28,37.8,-10.8,0,93.8,93.8,42.9,57.1,8:44,8:40,1,1,-1.5,4,0
22,Oskar Back,24,DAL,C,68,638,613,51,1.7,405,432,48.4,-0.2,7,93.8,100.8,39.2,60.8,11:48,10:17,12,49,-2.5,91,46.2
23,Mikael Backlund,35,CGY,C,69,1076,988,52.1,1.6,751,681,52.4,2.4,7.6,91.7,99.3,37.6,62.4,18:42,14:35,34,66,-0.4,315,49.8
24,Kevin Bahl,24,CGY,D,66,1251,1299,49.1,-3.9,896,914,49.5,-2.7,8.1,91,99.1,47,53,21:21,18:40,23,79,-9.2,206,37.9
25,Arshdeep Bains,24,VAN,F,13,119,133,47.2,-1.5,83,95,46.6,-3.2,5.8,87.9,93.6,53.9,46.1,10:30,9:45,1,4,-2.8,16,50
26,Uvis Balinskis,28,FLA,D,69,915,735,55.5,-0.1,644,547,54.1,-0.6,7.4,90.3,97.7,60.8,39.2,14:36,13:13,19,46,10.1,178,46.6
27,Ivan Barbashev,29,VEG,C,64,1045,1059,49.7,-0.6,754,760,49.8,-1,12.7,91.7,104.5,58.8,41.2,16:47,15:56,17,69,6.1,209,48.8
28,Aleksander Barkov,29,FLA,C,64,1242,813,60.4,6.4,883,597,59.7,6.4,8.2,88.5,96.7,58.8,41.2,20:25,15:28,34,49,13.3,286,49.7
29,Alex Barré-Boulet,27,MTL,F,2,15,22,40.5,4.4,8,16,33.3,-2.5,0,84.6,84.6,50,50,10:10,7:07,1,0,-0.9,1,0
